STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,age,Age class,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LV,Latvia,2015,,39.9,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LV,Latvia,2016,,42.1,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LV,Latvia,2017,,41.6,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LV,Latvia,2018,,41.6,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LV,Latvia,2019,,43.8,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LV,Latvia,2020,,44.2,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LV,Latvia,2021,,45.5,,b,break in time series,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LV,Latvia,2022,,45.9,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LV,Latvia,2023,,45.1,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LV,Latvia,2024,,45.0,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),LV,Latvia,2025,,44.7,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),ME,Montenegro,2011,,25.9,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),ME,Montenegro,2012,,26.8,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),ME,Montenegro,2013,,31.5,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),ME,Montenegro,2014,,32.6,,b,break in time series,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),ME,Montenegro,2015,,31.9,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),ME,Montenegro,2016,,34.3,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),ME,Montenegro,2017,,35.5,,,,,
dataflow,ESTAT:SDG_04_20(1.0),Persons aged 25-34 with tertiary educational attainment level,A,Annual,T,Total,Y25-34,From 25 to 34 years,PC,Percentage,ED5-8,Tertiary education (levels 5-8),ME,Montenegro,2018,,34.2,,,,,
