STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,unit,Unit of measure,statinfo,Statistical information,rskpovth,Risk of poverty threshold,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,NL,Netherlands,2008,,10.5,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,NL,Netherlands,2009,,11.1,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,NL,Netherlands,2010,,10.3,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,NL,Netherlands,2011,,11.0,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,NL,Netherlands,2012,,10.1,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,NL,Netherlands,2013,,10.4,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,NL,Netherlands,2014,,11.6,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,NL,Netherlands,2015,,11.6,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,NL,Netherlands,2016,,12.7,,b,break in time series,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,NL,Netherlands,2017,,13.2,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,NL,Netherlands,2018,,13.3,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,NL,Netherlands,2019,,13.2,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,NL,Netherlands,2020,,13.4,,,,,
